ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
486;Zhou Qi;FALSE;Hou;F-C;23.23;1;1;0;0;1;100.00%;0;0.00%;100.00%;100.00%;85;215.9
487;Ivan Rabb;FALSE;Mem;F;22.18;49;14.7;69;0.71;197;57.40%;15;20.00%;55.40%;58.60%;82;208.28
488;Chasson Randle;FALSE;Was;G;26.18;49;15.2;62;0.694;102;44.10%;115;40.00%;52.50%;55.50%;74;187.96
489;Julius Randle;FALSE;Nor;F;24.37;73;30.6;487;0.731;893;56.40%;195;34.40%;55.60%;60.10%;81;205.74
490;JJ Redick;FALSE;Phi;G;34.8;76;31.3;254;0.894;423;50.10%;605;39.70%;55.60%;60.10%;76;193.04
491;Davon Reed;FALSE;Ind;G;23.83;10;4.7;0;0;8;37.50%;4;50.00%;50.00%;50.00%;78;198.12
492;Cameron Reynolds;FALSE;Min;G;24.17;19;13.7;9;0.889;27;44.40%;51;41.20%;55.80%;58.00%;79;200.66
493;Josh Richardson;FALSE;Mia;F;25.57;73;34.8;231;0.861;567;45.70%;459;35.70%;49.20%;53.60%;78;198.12
494;Malachi Richardson;FALSE;Tor;G;23.26;22;4.7;5;0.8;4;25.00%;25;32.00%;44.80%;48.10%;78;198.12
495;Austin Rivers;TRUE;Was;G;26.69;29;23.5;46;0.543;88;48.90%;106;31.10%;47.70%;49.00%;79;200.66
496;Austin Rivers;TRUE;Hou;G;26.69;47;28.6;49;0.51;157;54.10%;221;32.10%;50.70%;51.10%;79;200.66
497;Glenn Robinson III;FALSE;Det;G-F;25.26;47;13;40;0.8;114;49.10%;61;29.50%;47.40%;51.40%;78;198.12
498;Devin Robinson;FALSE;Was;F;24.1;7;13.5;14;0.643;30;63.30%;2;0.00%;59.40%;61.60%;80;203.2
499;Duncan Robinson;FALSE;Mia;F;24.97;15;10.7;6;0.667;11;72.70%;35;28.60%;50.00%;51.40%;80;203.2
500;Jerome Robinson;FALSE;Lac;G;22.13;33;9.7;9;0.667;53;49.10%;57;31.60%;48.20%;49.10%;77;195.58
501;Mitchell Robinson;FALSE;Nyk;C;21.03;66;20.6;135;0.6;291;69.40%;0;0.00%;69.40%;69.20%;85;215.9
502;Rajon Rondo;FALSE;Lal;G;33.13;46;29.8;36;0.639;290;42.80%;142;35.90%;46.40%;47.30%;73;185.42
503;Derrick Rose;FALSE;Min;G;30.52;51;27.3;160;0.856;607;50.90%;146;37.00%;51.80%;55.70%;75;190.5
504;Terrence Ross;FALSE;Orl;G-F;28.18;81;26.5;144;0.875;461;48.40%;566;38.30%;53.40%;56.10%;79;200.66
505;Terry Rozier;FALSE;Bos;G;25.07;79;22.7;93;0.785;328;42.40%;337;35.30%;47.70%;50.10%;73;185.42
506;Ricky Rubio;FALSE;Uta;G;28.47;68;27.9;228;0.855;476;45.40%;254;31.10%;45.80%;52.00%;76;193.04
507;D'Angelo Russell;FALSE;Bro;G;23.13;81;30.2;205;0.78;882;48.20%;635;36.90%;51.20%;53.30%;77;195.58
508;Domantas Sabonis;FALSE;Ind;F;22.94;74;24.8;291;0.715;685;59.00%;17;52.90%;59.50%;62.80%;83;210.82
509;Brandon Sampson;FALSE;Chi;G;21.95;14;15.3;6;0.667;31;54.80%;29;37.90%;55.80%;56.70%;77;195.58
510;JaKarr Sampson;FALSE;Chi;F;26.06;4;31.8;21;0.81;40;60.00%;14;35.70%;58.30%;63.30%;81;205.74
511;Dario Saric;TRUE;Phi;F;25.01;13;30.5;30;0.9;61;44.30%;71;29.60%;44.30%;49.60%;82;208.28
512;Dario Saric;TRUE;Min;F;25.01;68;23.9;120;0.875;311;51.10%;253;38.30%;54.00%;57.90%;82;208.28
513;Tomas Satoransky;FALSE;Was;G-F;27.45;80;27;160;0.819;368;52.40%;163;39.30%;54.40%;58.90%;79;200.66
514;Dennis Schroder;FALSE;Okc;G;25.57;79;29.3;227;0.819;740;45.00%;364;34.10%;47.00%;50.80%;73;185.42
515;Mike Scott;TRUE;Lac;F;30.74;52;14.4;18;0.667;97;41.20%;133;39.10%;51.30%;52.10%;80;203.2
516;Mike Scott;TRUE;Phi;F;30.74;27;24;15;0.667;71;38.00%;119;41.20%;52.90%;53.70%;80;203.2
517;Thabo Sefolosha;FALSE;Uta;F;34.94;50;12.2;22;0.636;71;52.10%;78;43.60%;59.10%;59.90%;79;200.66
518;Wayne Selden;TRUE;Mem;G-F;24.53;32;14.2;29;0.759;98;45.90%;63;31.70%;46.60%;49.50%;77;195.58
519;Wayne Selden;TRUE;Chi;G-F;24.53;43;22.9;63;0.714;210;45.70%;112;31.30%;46.10%;48.90%;77;195.58
520;Collin Sexton;FALSE;Cle;G;20.27;82;31.8;255;0.839;910;44.00%;296;40.20%;48.00%;52.00%;74;187.96
521;Landry Shamet;TRUE;Phi;G;22.08;54;20.5;54;0.815;102;52.90%;245;40.40%;58.40%;60.60%;77;195.58
