ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
12;Kadeem Allen;FALSE;Nyk;G;26.24;19;21.9;54;0.778;104;46.20%;36;47.20%;52.50%;57.70%;73;185.42
13;Al-Farouq Aminu;FALSE;Por;F;28.55;81;28.3;173;0.867;313;51.40%;280;34.30%;51.40%;56.80%;81;205.74
14;Justin Anderson;FALSE;Atl;G-F;25.39;48;9.7;35;0.743;80;50.00%;77;31.20%;48.40%;51.60%;78;198.12
15;Kyle Anderson;FALSE;Mem;F;25.56;43;29.8;64;0.578;242;58.30%;34;26.50%;56.00%;56.90%;81;205.74
16;Ryan Anderson;TRUE;Pho;F;30.93;15;18.5;14;0.786;26;46.20%;34;20.60%;37.50%;42.30%;82;208.28
17;Ryan Anderson;TRUE;Mia;F;30.93;10;4.4;2;0.5;3;0.00%;6;33.30%;33.30%;35.40%;82;208.28
18;Ike Anigbogu;FALSE;Ind;C;20.47;3;2.1;0;0;3;0.00%;0;0.00%;0.00%;0.00%;82;208.28
19;Giannis Antetokounmpo;FALSE;Mil;F;24.35;72;32.8;686;0.729;1045;64.00%;203;25.60%;59.90%;64.30%;82;208.28
20;Kostas Antetokounmpo;FALSE;Dal;F;21.39;2;5.3;4;0.5;3;0.00%;0;0.00%;0.00%;21.00%;83;210.82
21;Carmelo Anthony;FALSE;Hou;F;34.87;10;29.4;22;0.682;57;49.10%;64;32.80%;49.20%;51.30%;80;203.2
22;OG Anunoby;FALSE;Tor;F;21.74;67;20.2;62;0.581;202;57.40%;202;33.20%;53.60%;54.40%;80;203.2
23;Ryan Arcidiacono;FALSE;Chi;G;25.04;81;24.2;102;0.873;201;52.70%;218;37.20%;54.30%;58.60%;75;190.5
24;Trevor Ariza;TRUE;Pho;F;33.78;26;34;43;0.837;88;40.90%;139;36.00%;48.90%;52.50%;80;203.2
25;Trevor Ariza;TRUE;Was;F;33.78;43;34.1;121;0.777;214;52.80%;295;32.20%;50.20%;53.80%;80;203.2
26;D.J. Augustin;FALSE;Orl;G;31.42;81;28;209;0.866;366;51.10%;311;42.10%;56.60%;61.60%;72;182.88
27;Deandre Ayton;FALSE;Pho;C;20.72;71;30.7;189;0.746;866;58.80%;4;0.00%;58.50%;60.80%;85;215.9
28;Dwayne Bacon;FALSE;Cha;G-F;23.61;43;17.6;46;0.739;170;49.40%;87;43.70%;54.90%;57.00%;79;200.66
29;Marvin Bagley III;FALSE;Sac;F;20.08;62;25.3;262;0.691;610;53.40%;96;31.30%;52.50%;56.20%;83;210.82
30;Ron Baker;TRUE;Nyk;G;26.03;11;9.7;6;0.833;7;42.90%;9;11.10%;28.10%;37.60%;76;193.04
31;Ron Baker;TRUE;Was;G;26.03;4;11.4;0;0;0;0.00%;4;0.00%;0.00%;0.00%;76;193.04
32;Wade Baldwin IV;FALSE;Por;G;23.03;16;5.9;11;0.727;24;33.30%;9;22.20%;33.30%;39.60%;76;193.04
33;Lonzo Ball;FALSE;Lal;G;21.46;47;30.3;48;0.417;228;48.20%;228;32.90%;48.80%;48.70%;78;198.12
34;Mo Bamba;FALSE;Orl;C;20.92;47;16.3;63;0.587;173;55.50%;70;30.00%;52.50%;53.90%;84;213.36
35;J.J. Barea;FALSE;Dal;G;34.79;38;19.8;78;0.705;257;47.90%;128;29.70%;46.80%;49.50%;72;182.88
36;Harrison Barnes;TRUE;Dal;F;26.86;49;32.3;198;0.833;406;41.60%;311;38.90%;48.90%;53.80%;80;203.2
37;Harrison Barnes;TRUE;Sac;F;26.86;28;33.9;80;0.8;179;49.20%;130;40.80%;54.20%;58.00%;80;203.2
38;Will Barton;FALSE;Den;G;28.26;43;27.7;74;0.77;264;44.70%;196;34.20%;47.50%;50.10%;78;198.12
39;Keita Bates-Diop;FALSE;Min;F;23.21;30;16.8;28;0.643;90;52.20%;52;25.00%;46.80%;48.90%;81;205.74
40;Nicolas Batum;FALSE;Cha;G-F;30.32;75;31.4;89;0.865;265;51.70%;298;38.90%;55.20%;58.00%;80;203.2
41;Jerryd Bayless;FALSE;Min;G;30.64;34;19.3;28;0.571;132;40.20%;98;29.60%;42.00%;43.10%;75;190.5
42;Aron Baynes;FALSE;Bos;F-C;32.34;51;16.1;62;0.855;162;51.90%;61;34.40%;51.80%;56.70%;82;208.28
43;Kent Bazemore;FALSE;Atl;G;29.78;67;24.5;176;0.722;391;46.50%;300;32.00%;47.20%;50.70%;77;195.58
44;Bradley Beal;FALSE;Was;G;25.79;82;36.9;448;0.808;1012;54.80%;596;35.10%;54.00%;58.10%;77;195.58
45;Malik Beasley;FALSE;Den;G;22.37;81;23.2;66;0.848;333;55.90%;405;40.20%;58.30%;59.80%;77;195.58
46;Michael Beasley;FALSE;Lal;F;30.25;26;10.7;39;0.718;136;52.90%;17;17.60%;50.00%;53.20%;81;205.74
47;Marco Belinelli;FALSE;San;G-F;33.05;79;23;124;0.903;295;46.80%;395;37.20%;52.00%;55.70%;77;195.58
48;Jordan Bell;FALSE;Gol;F;24.26;68;11.6;41;0.61;190;52.10%;2;0.00%;51.60%;53.10%;81;205.74
49;DeAndre' Bembry;FALSE;Atl;F;24.77;82;23.6;136;0.64;444;50.70%;173;28.90%;48.60%;50.80%;78;198.12
50;Dragan Bender;FALSE;Pho;F;21.4;46;18;54;0.593;96;68.80%;101;21.80%;50.30%;52.10%;85;215.9
51;Davis Bertans;FALSE;San;F;26.41;76;21.5;60;0.883;115;51.30%;338;42.90%;61.00%;63.20%;82;208.28
52;Dairis Bertans;FALSE;Nor;G;29.59;12;13.9;0;0;13;15.40%;34;29.40%;36.20%;36.20%;76;193.04
53;Patrick Beverley;FALSE;Lac;G;30.75;78;27.4;123;0.78;194;42.30%;281;39.90%;52.60%;56.30%;73;185.42
54;Khem Birch;FALSE;Orl;C;26.53;50;12.9;83;0.699;150;60.70%;1;0.00%;60.30%;64.00%;81;205.74
55;Bismack Biyombo;FALSE;Cha;C;26.62;54;14.5;91;0.637;157;56.70%;0;0.00%;56.70%;59.90%;81;205.74
56;Nemanja Bjelica;FALSE;Sac;F;30.92;77;23.2;92;0.761;336;53.90%;257;40.10%;56.60%;58.50%;82;208.28
57;Antonio Blakeney;FALSE;Chi;G;22.52;57;14.5;76;0.658;305;42.60%;91;39.60%;46.50%;48.70%;76;193.04
58;Eric Bledsoe;FALSE;Mil;G;29.34;78;29.1;236;0.75;595;58.20%;377;32.90%;54.70%;57.70%;73;185.42
59;Jaron Blossomgame;FALSE;Cle;F;25.57;27;16.3;13;0.769;68;54.40%;39;25.60%;48.60%;50.60%;78;198.12
60;Bojan Bogdanovic;FALSE;Ind;F;29.98;81;31.8;305;0.807;664;53.90%;386;42.50%;57.50%;61.40%;78;198.12
61;Bogdan Bogdanovic;FALSE;Sac;G;26.64;70;27.8;162;0.827;491;46.20%;372;36.00%;49.60%;53.00%;80;203.2
62;Andrew Bogut;FALSE;Gol;C;34.37;11;12.2;3;1;36;50.00%;0;0.00%;50.00%;52.30%;84;213.36
63;Jonah Bolden;FALSE;Phi;F;23.27;44;14.5;27;0.481;66;69.70%;96;35.40%;59.90%;59.50%;82;208.28
64;Isaac Bonga;FALSE;Lal;G;19.42;22;5.5;15;0.6;25;20.00%;8;0.00%;15.20%;24.00%;80;203.2
65;Devin Booker;FALSE;Pho;G;22.44;64;35;454;0.866;841;53.60%;414;32.60%;52.10%;58.40%;78;198.12
66;Chris Boucher;FALSE;Tor;F;26.25;28;5.8;15;0.867;39;56.40%;37;32.40%;52.60%;56.30%;82;208.28
67;Avery Bradley;TRUE;Lac;G;28.37;49;29.9;25;0.8;248;41.50%;172;33.70%;45.20%;46.40%;74;187.96
68;Avery Bradley;TRUE;Mem;G;28.37;14;31.6;25;0.92;115;51.30%;73;38.40%;53.70%;56.50%;74;187.96
69;Tony Bradley;FALSE;Uta;C;21.17;3;12;2;0.5;16;50.00%;0;0.00%;50.00%;50.40%;82;208.28
70;Corey Brewer;TRUE;Phi;G-F;33.1;7;19.9;13;0.692;35;45.70%;14;28.60%;44.90%;48.40%;81;205.74
71;Corey Brewer;TRUE;Sac;G-F;33.1;24;14.7;30;0.733;44;52.30%;30;33.30%;51.40%;56.20%;81;205.74
72;Miles Bridges;FALSE;Cha;F;21.06;80;21.2;77;0.753;311;55.30%;200;32.50%;52.70%;54.80%;79;200.66
73;Mikal Bridges;FALSE;Pho;F;22.61;82;29.5;118;0.805;250;54.80%;313;33.50%;52.30%;55.60%;79;200.66
74;Isaiah Briscoe;FALSE;Orl;G;22.99;39;14.3;26;0.577;104;42.30%;34;32.40%;43.80%;45.50%;75;190.5
75;Ryan Broekhoff;FALSE;Dal;G-F;28.63;42;10.8;19;0.789;33;57.60%;94;40.40%;59.80%;61.70%;79;200.66
76;Malcolm Brogdon;FALSE;Mil;G;26.33;64;28.6;152;0.928;503;54.50%;244;42.60%;57.60%;61.50%;77;195.58
77;Dillon Brooks;FALSE;Mem;G-F;23.22;18;18.3;30;0.733;82;41.50%;40;37.50%;46.30%;49.90%;77;195.58
78;MarShon Brooks;FALSE;Mem;G;30.21;29;13.3;33;0.697;115;53.00%;54;27.80%;49.40%;51.80%;78;198.12
79;Troy Brown Jr.;FALSE;Was;F;19.7;52;14;47;0.681;165;45.50%;69;31.90%;46.20%;48.70%;79;200.66
80;Bruce Brown;FALSE;Det;G;22.65;74;19.6;60;0.75;222;45.50%;93;25.80%;43.50%;46.70%;77;195.58
81;Jaylen Brown;FALSE;Bos;F;22.46;74;25.9;202;0.658;516;52.90%;276;34.40%;52.50%;54.70%;77;195.58
82;Lorenzo Brown;FALSE;Tor;G;28.63;26;8.2;3;1;43;39.50%;28;21.40%;36.60%;38.00%;78;198.12
83;Sterling Brown;FALSE;Mil;G;24.16;58;17.8;42;0.69;165;55.80%;147;36.10%;55.00%;56.30%;79;200.66
84;Jalen Brunson;FALSE;Dal;G;22.61;73;21.8;120;0.725;384;52.30%;181;34.80%;52.30%;54.90%;75;190.5
85;Thomas Bryant;FALSE;Was;C;21.7;72;20.8;137;0.781;404;68.30%;99;33.30%;64.70%;67.30%;83;210.82
86;Reggie Bullock;TRUE;Det;F;28.07;44;30.8;64;0.875;147;46.30%;294;38.80%;54.20%;56.90%;79;200.66
87;Reggie Bullock;TRUE;Lal;G-F;28.07;19;27.6;21;0.81;54;53.70%;99;34.30%;52.30%;54.50%;79;200.66
88;Trey Burke;TRUE;Nyk;G;26.41;33;20.9;75;0.827;272;43.40%;86;34.90%;45.50%;49.60%;73;185.42
89;Trey Burke;TRUE;Dal;G;26.41;25;17.4;49;0.837;117;53.00%;74;35.10%;52.90%;57.20%;73;185.42
90;Alec Burks;TRUE;Uta;G;27.73;17;15.8;38;0.868;71;43.70%;43;37.20%;48.20%;54.70%;78;198.12
91;Alec Burks;TRUE;Cle;G;27.73;34;28.8;98;0.806;221;41.20%;119;37.80%;46.60%;51.70%;78;198.12
92;Alec Burks;TRUE;Sac;G;27.73;13;9.7;5;0.8;14;64.30%;6;0.00%;45.00%;49.50%;78;198.12
93;Deonte Burton;FALSE;Okc;G;25.19;32;7.5;12;0.667;55;45.50%;27;29.60%;45.10%;47.00%;77;195.58
94;Jimmy Butler;TRUE;Min;G-F;29.57;10;36.1;61;0.787;112;50.90%;45;37.80%;52.50%;57.90%;80;203.2
95;Jimmy Butler;TRUE;Phi;G-F;29.57;55;33.2;304;0.868;600;49.00%;147;34.00%;49.40%;56.90%;80;203.2
96;Bruno Caboclo;FALSE;Mem;F;23.55;34;23.5;50;0.84;95;50.50%;130;36.90%;53.30%;57.10%;81;205.74
97;Jose Calderon;FALSE;Det;G;37.54;48;13.2;11;0.818;63;49.20%;57;24.60%;43.30%;45.30%;75;190.5
98;Kentavious Caldwell-Pope;FALSE;Lal;G;26.14;82;24.8;158;0.867;321;54.20%;436;34.60%;52.90%;56.70%;77;195.58
99;Isaiah Canaan;TRUE;Pho;G;27.89;19;26.4;20;0.75;57;45.60%;72;34.70%;49.20%;51.50%;72;182.88
100;Isaiah Canaan;TRUE;Min;G;27.89;7;13.6;4;1;10;40.00%;19;36.80%;50.00%;53.60%;72;182.88
101;Isaiah Canaan;TRUE;Mil;G;27.89;4;7.6;0;0;1;0.00%;5;40.00%;50.00%;50.00%;72;182.88
102;Clint Capela;FALSE;Hou;C;24.9;67;33.6;261;0.636;732;64.80%;0;0.00%;64.80%;65.80%;82;208.28
103;DeMarre Carroll;FALSE;Bro;F;32.71;67;25.4;242;0.76;264;45.80%;311;34.10%;48.70%;54.60%;80;203.2
104;Wendell Carter Jr.;FALSE;Chi;F;19.99;44;25.2;112;0.795;338;51.50%;32;18.80%;49.50%;54.30%;82;208.28
105;Jevon Carter;FALSE;Mem;G;23.57;39;14.8;32;0.813;83;26.50%;102;33.30%;39.50%;43.20%;74;187.96
106;Vince Carter;FALSE;Atl;G-F;42.21;76;17.5;66;0.712;152;48.00%;316;38.90%;55.00%;56.50%;78;198.12
107;Michael Carter-Williams;TRUE;Hou;G;27.5;16;9;26;0.462;42;42.90%;19;36.80%;46.70%;47.60%;78;198.12
108;Michael Carter-Williams;TRUE;Orl;G;27.5;12;18.9;27;0.741;43;41.90%;19;15.80%;36.30%;44.00%;78;198.12
109;Alex Caruso;FALSE;Lal;G;25.12;25;21.2;64;0.797;123;43.10%;50;48.00%;51.40%;56.90%;77;195.58
110;Omri Casspi;FALSE;Mem;F;30.8;36;14.5;58;0.672;118;60.20%;43;34.90%;58.10%;60.60%;81;205.74
111;Willie Cauley-Stein;FALSE;Sac;C;25.65;81;27.3;254;0.551;739;55.60%;2;50.00%;55.70%;56.60%;84;213.36
112;Troy Caupain;FALSE;Orl;G;23.37;4;3.9;0;0;5;40.00%;3;66.70%;62.50%;62.50%;76;193.04
113;Tyler Cavanaugh;FALSE;Uta;F;25.17;11;3.6;2;1;5;40.00%;5;20.00%;35.00%;41.40%;81;205.74
114;Tyson Chandler;TRUE;Pho;C;36.52;7;12.7;18;0.556;12;66.70%;0;0.00%;66.70%;65.30%;81;205.74
115;Tyson Chandler;TRUE;Lal;C;36.52;48;16.4;69;0.594;86;61.60%;1;0.00%;60.90%;62.60%;81;205.74
116;Wilson Chandler;TRUE;Phi;F;31.92;36;26.4;18;0.722;89;50.60%;118;39.00%;55.10%;56.10%;85;215.9
117;Wilson Chandler;TRUE;Lac;F;31.92;15;15;7;0.714;26;38.50%;40;32.50%;44.70%;46.30%;85;215.9
118;Joe Chealey;FALSE;Cha;G;23.44;1;7.8;0;0;3;33.30%;0;0.00%;33.30%;33.30%;75;190.5
119;Chris Chiozza;FALSE;Hou;G;23.39;7;4.6;0;0;3;0.00%;5;40.00%;37.50%;37.50%;71;180.34
120;Marquese Chriss;TRUE;Hou;F;21.78;16;6.5;7;0.857;19;52.60%;15;6.70%;33.80%;39.10%;82;208.28
121;Marquese Chriss;TRUE;Cle;F;21.78;27;14.6;38;0.684;89;46.10%;57;26.30%;43.50%;47.00%;82;208.28
122;Gary Clark;FALSE;Hou;F;24.4;51;12.6;7;1;13;69.20%;138;29.70%;46.70%;48.00%;75;190.5
123;Ian Clark;FALSE;Nor;G;28.1;60;16.2;37;0.892;181;47.00%;202;32.70%;48.00%;50.20%;80;203.2
124;Jordan Clarkson;FALSE;Cle;G;26.84;81;27.3;192;0.844;735;52.40%;445;32.40%;50.90%;53.90%;77;195.58
125;John Collins;FALSE;Atl;F-C;21.55;61;30;265;0.766;673;60.90%;158;34.80%;59.30%;62.70%;82;208.28
126;Zach Collins;FALSE;Por;F-C;21.39;77;17.6;126;0.746;279;53.40%;121;33.10%;52.30%;56.20%;84;213.36
127;Darren Collison;FALSE;Ind;G;31.63;76;28.2;190;0.832;465;49.20%;194;40.70%;52.70%;57.40%;72;182.88
128;Bonzie Colson;FALSE;Mil;F;23.24;8;12.3;9;0.889;18;44.40%;21;23.80%;39.70%;45.40%;78;198.12
129;Mike Conley;FALSE;Mem;G;31.5;70;33.5;406;0.845;694;48.30%;426;36.40%;50.70%;56.90%;73;185.42
130;Pat Connaughton;FALSE;Mil;G;26.26;61;20.7;40;0.725;150;64.70%;200;33.00%;56.00%;57.30%;76;193.04
131;Quinn Cook;FALSE;Gol;G;26.05;74;14.3;26;0.769;239;51.50%;200;40.50%;55.70%;56.50%;74;187.96
132;DeMarcus Cousins;FALSE;Gol;C;28.66;30;25.7;144;0.736;276;55.10%;95;27.40%;51.50%;56.20%;83;210.82
133;Robert Covington;TRUE;Phi;F;28.32;13;33.8;23;0.739;40;50.00%;77;39.00%;55.60%;57.80%;81;205.74
134;Robert Covington;TRUE;Min;F;28.32;22;34.7;66;0.773;97;52.60%;148;37.20%;54.50%;58.00%;81;205.74
135;Allen Crabbe;FALSE;Bro;G-F;27;43;26.4;56;0.732;113;34.50%;259;37.80%;50.00%;52.10%;78;198.12
136;Torrey Craig;FALSE;Den;F;28.31;75;20;70;0.7;174;56.90%;188;32.40%;52.60%;54.70%;79;200.66
137;Jamal Crawford;FALSE;Pho;G;39.06;64;18.9;110;0.845;236;45.30%;202;33.20%;47.40%;52.20%;77;195.58
138;Mitchell Creek;TRUE;Bro;F;26.95;4;8.9;7;0.714;9;55.60%;1;0.00%;50.00%;57.30%;77;195.58
139;Mitchell Creek;TRUE;Min;F;26.95;1;11.5;0;0;5;60.00%;1;0.00%;50.00%;50.00%;77;195.58
140;Jae Crowder;FALSE;Uta;F;28.77;80;27.1;197;0.721;276;52.50%;522;33.10%;50.70%;53.70%;78;198.12
141;Dante Cunningham;FALSE;San;F;31.97;64;14.5;18;0.778;93;48.40%;65;46.20%;57.00%;58.50%;80;203.2
142;Seth Curry;FALSE;Por;G;28.63;74;18.9;52;0.846;214;46.30%;251;45.00%;57.70%;59.50%;74;187.96
143;Stephen Curry;FALSE;Gol;G;31.07;69;33.8;287;0.916;530;52.50%;810;43.70%;60.40%;64.10%;75;190.5
144;Troy Daniels;FALSE;Pho;G;27.74;51;14.9;23;0.783;81;48.10%;194;38.10%;54.50%;55.80%;76;193.04
145;Anthony Davis;FALSE;Nor;F-C;26.09;56;33;433;0.794;881;54.70%;145;33.10%;54.00%;59.70%;82;208.28
146;Deyonta Davis;FALSE;Atl;C-F;22.35;9;13.2;10;0.6;21;71.40%;1;0.00%;68.20%;68.20%;83;210.82
147;Ed Davis;FALSE;Bro;C;29.85;81;17.9;162;0.617;300;62.00%;2;0.00%;61.60%;63.20%;82;208.28
148;Tyler Davis;FALSE;Okc;C;21.89;1;0.9;0;0;1;0.00%;0;0.00%;0.00%;0.00%;82;208.28
149;Dewayne Dedmon;FALSE;Atl;C;29.66;64;25.1;113;0.814;309;57.00%;217;38.20%;57.10%;60.20%;84;213.36
150;Sam Dekker;FALSE;Cle;F;24.93;9;18.8;10;0.8;35;48.60%;13;38.50%;51.00%;54.40%;81;205.74
151;Sam Dekker;FALSE;Was;F;24.93;38;16.3;36;0.556;159;52.80%;49;28.60%;50.50%;51.40%;81;205.74
152;Angel Delgado;FALSE;Lac;C;24.39;2;7.4;2;0.5;5;20.00%;0;0.00%;20.00%;25.50%;82;208.28
153;Matthew Dellavedova;TRUE;Mil;G;28.59;12;8.1;4;1;8;25.00%;11;36.40%;42.10%;48.20%;76;193.04
154;Matthew Dellavedova;TRUE;Cle;G;28.59;36;19.9;48;0.792;104;50.00%;119;33.60%;50.20%;53.70%;76;193.04
155;Luol Deng;FALSE;Min;F;33.99;22;17.8;35;0.714;74;60.80%;44;31.80%;55.90%;58.80%;81;205.74
156;DeMar DeRozan;FALSE;San;G;29.68;77;34.9;439;0.831;1268;49.20%;45;15.60%;48.30%;54.20%;79;200.66
157;Marcus Derrickson;FALSE;Gol;F;23.19;11;6.1;5;0.8;13;46.20%;20;50.00%;63.60%;65.30%;79;200.66
158;Cheick Diallo;FALSE;Nor;F;22.57;64;14;67;0.746;267;62.50%;4;25.00%;62.20%;64.40%;77;195.58
159;Hamidou Diallo;FALSE;Okc;G;20.7;51;10.3;59;0.61;141;50.40%;24;16.70%;46.70%;49.70%;81;205.74
160;Gorgui Dieng;FALSE;Min;C;29.23;76;13.6;106;0.83;321;53.00%;56;33.90%;52.70%;57.20%;83;210.82
161;Spencer Dinwiddie;FALSE;Bro;G;26.01;68;28.1;356;0.806;458;52.80%;370;33.50%;51.70%;58.00%;78;198.12
162;Donte DiVincenzo;FALSE;Mil;G;22.19;27;15.2;12;0.75;41;68.30%;83;26.50%;49.20%;50.70%;76;193.04
163;Luka Doncic;FALSE;Dal;G-F;20.12;72;32.2;485;0.713;672;50.30%;515;32.60%;49.70%;54.50%;79;200.66
164;Tyler Dorsey;TRUE;Atl;G;23.15;27;9.3;26;0.615;50;44.00%;39;25.60%;41.60%;44.80%;77;195.58
165;Tyler Dorsey;TRUE;Mem;G;23.15;21;21.3;35;0.629;82;50.00%;93;36.60%;52.60%;54.10%;78;198.12
166;Damyean Dotson;FALSE;Nyk;G;24.93;73;27.4;98;0.745;356;46.10%;342;36.80%;50.60%;52.60%;78;198.12
167;PJ Dozier;FALSE;Bos;G-F;22.46;6;8.5;2;0.5;13;46.20%;8;25.00%;42.90%;43.40%;78;198.12
168;Goran Dragic;FALSE;Mia;G;32.93;36;27.5;101;0.782;269;45.40%;163;35.00%;48.00%;51.80%;75;190.5
169;Andre Drummond;FALSE;Det;C;25.67;79;33.5;412;0.59;1016;54.70%;38;13.20%;53.50%;55.50%;83;210.82
170;Jared Dudley;FALSE;Bro;F;33.75;59;20.7;46;0.696;88;54.50%;151;35.10%;53.30%;55.40%;79;200.66
171;Kris Dunn;FALSE;Chi;G;25.07;46;30.2;69;0.797;410;44.10%;96;35.40%;45.80%;48.40%;76;193.04
172;Kevin Durant;FALSE;Gol;F;30.53;78;34.6;506;0.885;995;58.70%;388;35.30%;57.10%;63.10%;81;205.74
173;Trevon Duval;FALSE;Mil;G;20.69;3;1.9;0;0;2;50.00%;1;100.00%;83.30%;83.30%;74;187.96
174;Vincent Edwards;FALSE;Hou;F;23.01;2;7.9;0;0;0;0.00%;4;25.00%;37.50%;37.50%;80;203.2
175;Henry Ellenson;TRUE;Det;F;22.24;2;12.4;2;1;6;33.30%;4;50.00%;50.00%;55.10%;83;210.82
176;Henry Ellenson;TRUE;Nyk;F;22.24;17;13.8;23;0.739;51;39.20%;34;44.10%;50.00%;53.60%;83;210.82
177;Wayne Ellington;TRUE;Mia;G;31.37;25;21.3;16;0.875;29;41.40%;155;36.80%;53.00%;54.70%;77;195.58
178;Wayne Ellington;TRUE;Det;G;31.37;28;27.3;33;0.758;56;60.70%;217;37.30%;57.00%;58.40%;77;195.58
179;Joel Embiid;FALSE;Phi;F-C;25.07;64;33.7;649;0.804;936;53.50%;263;30.00%;51.70%;59.30%;84;213.36
180;James Ennis III;TRUE;Hou;F;28.78;40;23.7;58;0.724;91;65.90%;120;36.70%;59.70%;62.20%;79;200.66
181;James Ennis III;TRUE;Phi;F;28.78;18;15.6;23;0.696;47;48.90%;36;30.60%;47.60%;51.00%;79;200.66
182;Drew Eubanks;FALSE;San;F;22.19;23;4.9;13;0.846;26;57.70%;0;0.00%;57.70%;64.60%;82;208.28
183;Jacob Evans;FALSE;Gol;G;21.81;30;6.8;1;0;38;36.80%;15;26.70%;37.70%;37.40%;75;190.5
184;Jawun Evans;TRUE;Pho;G;22.71;7;9.1;0;0;11;27.30%;2;0.00%;23.10%;23.10%;78;198.12
185;Jawun Evans;TRUE;Okc;G;22.71;1;0.6;0;0;0;0.00%;1;0.00%;0.00%;0.00%;78;198.12
186;Tyreke Evans;FALSE;Ind;G;29.56;69;20.3;160;0.719;444;40.50%;216;35.60%;44.80%;48.30%;78;198.12
187;Dante Exum;FALSE;Uta;G;23.75;42;15.8;86;0.791;177;46.90%;62;29.00%;46.00%;52.00%;78;198.12
188;Kenneth Faried;TRUE;Bro;F-C;29.39;12;9.8;16;0.625;37;64.90%;5;20.00%;60.70%;62.20%;80;203.2
189;Kenneth Faried;TRUE;Hou;F-C;29.39;25;24.4;83;0.651;203;61.10%;20;35.00%;60.30%;62.20%;80;203.2
190;Derrick Favors;FALSE;Uta;F-C;27.74;76;23.2;228;0.675;541;64.00%;78;21.80%;60.00%;62.40%;82;208.28
191;Cristiano Felicio;FALSE;Chi;F-C;26.76;60;12.4;73;0.685;175;54.30%;4;0.00%;53.10%;56.80%;82;208.28
192;Raymond Felton;FALSE;Okc;G;34.79;33;11.5;13;0.923;74;47.30%;61;32.80%;48.10%;50.50%;73;185.42
193;Terrance Ferguson;FALSE;Okc;G;20.9;74;26.1;51;0.725;141;56.00%;290;36.60%;55.20%;56.60%;79;200.66
194;Yogi Ferrell;FALSE;Sac;G;25.92;71;15;67;0.896;202;49.00%;149;36.20%;51.30%;55.20%;72;182.88
195;Dorian Finney-Smith;FALSE;Dal;F;25.94;81;24.5;103;0.709;274;54.40%;254;31.10%;50.70%;53.00%;80;203.2
196;Bryn Forbes;FALSE;San;G;25.72;82;28;78;0.885;379;48.80%;413;42.60%;56.70%;58.50%;75;190.5
197;Evan Fournier;FALSE;Orl;G-F;26.45;81;31.5;170;0.806;619;50.90%;450;34.00%;50.90%;53.60%;79;200.66
198;De'Aaron Fox;FALSE;Sac;G;21.31;81;31.4;417;0.727;870;48.20%;232;37.10%;49.70%;54.40%;75;190.5
199;Melvin Frazier Jr.;FALSE;Orl;G-F;22.61;10;4.4;4;0.25;15;46.70%;6;0.00%;33.30%;33.00%;78;198.12
200;Tim Frazier;TRUE;Nor;G;28.44;47;19.3;41;0.78;118;51.70%;77;35.10%;52.10%;55.20%;73;185.42
201;Tim Frazier;TRUE;Mil;G;28.44;12;17.6;13;0.692;42;42.90%;24;41.70%;50.00%;52.30%;73;185.42
202;Jimmer Fredette;FALSE;Pho;G;30.12;6;10.8;6;1;16;50.00%;13;0.00%;27.60%;34.80%;74;187.96
203;Channing Frye;FALSE;Cle;F-C;35.9;36;9.5;14;0.786;38;28.90%;79;40.50%;50.40%;52.40%;84;213.36
204;Markelle Fultz;FALSE;Phi;G;20.87;19;22.5;37;0.568;141;43.30%;14;28.60%;43.20%;45.20%;76;193.04
205;Danilo Gallinari;FALSE;Lac;F;30.67;68;30.3;406;0.904;511;48.50%;373;43.20%;55.40%;63.30%;81;205.74
206;Langston Galloway;FALSE;Det;G;27.34;80;21.8;96;0.844;206;45.10%;381;35.40%;50.30%;53.40%;74;187.96
207;Billy Garrett;FALSE;Nyk;G;24.49;4;15.9;4;1;19;57.90%;8;0.00%;40.70%;45.20%;78;198.12
208;Marc Gasol;TRUE;Mem;C;34.2;53;33.7;201;0.756;462;49.10%;221;34.40%;49.90%;54.10%;85;215.9
209;Marc Gasol;TRUE;Tor;C;34.2;26;24.9;52;0.769;135;47.40%;52;44.20%;52.70%;56.50%;85;215.9
210;Pau Gasol;TRUE;San;C-F;38.76;27;12.2;38;0.711;78;46.20%;10;50.00%;49.40%;54.40%;84;213.36
211;Pau Gasol;TRUE;Mil;C-F;38.76;3;10.1;2;0.5;3;0.00%;3;33.30%;25.00%;29.10%;84;213.36
212;Rudy Gay;FALSE;San;F;32.65;69;26.7;147;0.816;562;53.70%;184;40.20%;55.40%;58.30%;80;203.2
213;Paul George;FALSE;Okc;F;28.94;77;36.9;539;0.84;856;48.50%;757;38.60%;52.90%;58.30%;81;205.74
214;Taj Gibson;FALSE;Min;F;33.8;70;24.1;177;0.757;503;58.30%;34;32.40%;57.60%;61.20%;81;205.74
215;Harry Giles III;FALSE;Sac;F-C;20.97;58;14.1;91;0.637;342;51.20%;6;0.00%;50.30%;52.60%;82;208.28
216;Shai Gilgeous-Alexander;FALSE;Lac;G;20.75;82;26.5;195;0.8;577;50.30%;139;36.70%;51.20%;55.40%;78;198.12
