Rang,Titel,Studio,Female-lead,POC-lead,Budget (Millionen USD),Total Bruttoeinnahmen (Millionen USD),Verdienst in den USA (Millionen USD),Verdienst ausserhalb der USA,Jahr
67.0,Spider-Man: Homecoming,Sony,False,False,175.0,880.2,334.2,546,2017.0
68.0,Harry Potter and the Chamber of Secrets,WB,False,False,100.0,879,262.0,617,2002.0
69.0,Ice Age: Continental Drift,Fox,False,False,95.0,877.2,161.3,715.9,2012.0
70.0,The Secret Life of Pets,Universal,False,False,75.0,875.5,368.4,507.1,2016.0
71.0,Batman v Superman: Dawn of Justice,WB,False,False,263.0,873.6,330.4,543.2,2016.0
72.0,Zhan Lang 2,China Film Group,False,True,30.0,870.3,2.7,867.6,2017.0
73.0,Star Wars: Episode III - Revenge of the Sith,Fox,False,False,115.0,868.4,380.3,488.1,2005.0
74.0,The Hunger Games: Catching Fire,Lionsgate,True,False,130.0,865,424.7,440.3,2013.0
75.0,Guardians of the Galaxy Vol. 2,Disney,False,False,200.0,863.8,389.8,474,2017.0
76.0,Inside Out,Disney,True,False,175.0,857.6,356.5,501.1,2015.0
77.0,Venom (2018),Sony,False,False,116.0,856.1,212.4,643.7,2018.0
78.0,Thor: Ragnarok,Disney,False,False,180.0,854,315.1,538.9,2017.0
79.0,Transformers: Revenge of the Fallen,DreamWorks,False,False,210.0,836.3,402.1,434.2,2009.0
80.0,Inception,WB,False,False,160.0,829.9,292.6,537.3,2010.0
81.0,The Twilight Saga: Breaking Dawn Part 2,Summit,True,False,136.2,829.7,292.3,537.4,2012.0
82.0,Spider-Man,Sony,False,False,139.0,825,403.7,421.3,2002.0
83.0,Wonder Woman,WB,True,False,150.0,821.8,412.6,409.2,2017.0
84.0,Independence Day,Fox,False,True,75.0,817.4,306.2,511.2,1996.0
85.0,Fantastic Beasts and Where To Find Them,WB,False,False,180.0,814,234.0,580,2016.0
86.0,Shrek the Third,Paramount,False,False,160.0,813.4,322.7,490.7,2007.0
87.0,Coco,Disney,False,True,175.0,807.1,209.7,597.4,2017.0
88.0,Harry Potter and the Prisoner of Azkaban,WB,False,False,130.0,800,249.5,550.5,2004.0
89.0,Jumanji: The Next Level,Sony,False,True,125.0,796.6,316.8,479.8,2019.0
90.0,Pirates of the Caribbean: Dead Men Tell No Tales,Disney,False,False,230.0,794.9,172.6,622.3,2017.0
91.0,E.T.: The Extra-Terrestrial,Universal,False,False,10.5,793.5,435.1,358.4,1982.0
92.0,2012,Sony,False,False,200.0,791.2,166.1,625.1,2009.0
93.0,Mission: Impossible - Fallout,Paramount,False,False,178.0,791.1,220.2,570.9,2018.0
94.0,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,False,False,185.0,790.7,317.1,473.6,2008.0
95.0,Spider-Man 2,Sony,False,False,200.0,789,373.6,415.4,2004.0
96.0,Fast & Furious 6,Universal,False,False,160.0,788.7,238.7,550,2013.0
97.0,Deadpool 2,Fox,False,False,110.0,785.8,324.6,461.2,2018.0
98.0,Deadpool,Fox,False,False,58.0,782.6,363.1,419.5,2016.0
99.0,Star Wars: A New Hope,Fox,False,False,11.0,775.5,461.0,314.5,1977.0
100.0,Guardians of the Galaxy,Disney,False,False,170.0,772.8,333.2,439.6,2014.0
