Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
Dynasty Warriors 9;TRUE;TRUE;FALSE;TRUE;FALSE;5.8;Action;N;2018;2
EA Sports UFC 3;TRUE;TRUE;FALSE;FALSE;FALSE;7.5;Fighting;N;2018;1
Earth Defense Force 5;TRUE;FALSE;FALSE;FALSE;FALSE;8.3;Shooter;N;2018;12
Earthfall;FALSE;FALSE;FALSE;TRUE;FALSE;5.5;Shooter;N;2018;7
Extinction;TRUE;TRUE;FALSE;TRUE;FALSE;6.6;Action;N;2018;4
F1 2018;TRUE;TRUE;FALSE;TRUE;TRUE;8.5;Racing;N;2018;8
Fable Fortune;FALSE;TRUE;FALSE;TRUE;FALSE;7;Strategy;N;2018;2
Fallout 76;TRUE;TRUE;FALSE;TRUE;FALSE;5;Action-RPG;N;2018;11
Far Cry 5;TRUE;TRUE;FALSE;TRUE;FALSE;8.9;Shooter;N;2018;3
Far Cry 5: Dead Living Zombies DLC;TRUE;TRUE;FALSE;TRUE;FALSE;6.8;Shooter;N;2018;8
Far Cry 5: Hours of Darkness DLC;TRUE;TRUE;FALSE;TRUE;FALSE;7;Shooter;N;2018;6
Far Cry 5: Lost on Mars DLC;TRUE;TRUE;FALSE;TRUE;FALSE;5.5;Shooter;N;2018;7
Fe;TRUE;TRUE;TRUE;TRUE;FALSE;6.5;Action-Adventure;N;2018;2
FIFA 19;TRUE;TRUE;FALSE;TRUE;FALSE;8.2;Sports;N;2018;9
FIFA 19 (Switch);FALSE;FALSE;TRUE;FALSE;FALSE;5.8;Sports;N;2018;9
Flipping Death;TRUE;TRUE;TRUE;FALSE;FALSE;8;Puzzle;N;2018;8
Forza Horizon 4: Fortune Island;FALSE;TRUE;FALSE;TRUE;FALSE;8.7;Racing;N;2018;12
Forza Horizons 4;FALSE;TRUE;FALSE;TRUE;FALSE;9.6;Racing;Y;2018;9
Frostpunk;FALSE;FALSE;FALSE;TRUE;FALSE;9;Survival;Y;2018;4
Frozen Synapse 2;FALSE;FALSE;FALSE;TRUE;TRUE;7.9;Strategy;N;2018;9
God of War;TRUE;FALSE;FALSE;FALSE;FALSE;10;Action-Adventure;Y;2018;4
Gravel;TRUE;TRUE;FALSE;TRUE;FALSE;5.9;Racing;N;2018;2
Gris;FALSE;FALSE;TRUE;TRUE;FALSE;6.5;Platformer;N;2018;12
Guacamelee! 2;TRUE;TRUE;TRUE;TRUE;FALSE;9.3;Action-Adventure;Y;2018;8
H1Z1;TRUE;TRUE;FALSE;TRUE;FALSE;7;Survival;N;2018;2
Hades;FALSE;FALSE;FALSE;TRUE;FALSE;8.8;Action-RPG;N;2018;12
