Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
Steel Diver: Sub Wars;FALSE;FALSE;TRUE;FALSE;FALSE;7.8;Shooter;N;2014;3
Strider;TRUE;TRUE;FALSE;TRUE;FALSE;7.5;Action;N;2014;2
Styx: Master of Shadows;FALSE;FALSE;FALSE;TRUE;FALSE;7.2;Action;N;2014;10
Super Comboman;FALSE;FALSE;FALSE;TRUE;FALSE;6;Action;N;2014;7
Super Smash Bros. for Nintendo 3DS;FALSE;FALSE;TRUE;FALSE;FALSE;8.8;Fighting;N;2014;9
Super Smash Bros. for Wii U;FALSE;FALSE;TRUE;FALSE;FALSE;9.8;Fighting;Y;2014;11
Super TIME Force;FALSE;TRUE;FALSE;FALSE;FALSE;7.5;Shooter;N;2014;5
Surge Deluxe;TRUE;FALSE;FALSE;FALSE;FALSE;7.2;Puzzle;N;2014;2
Sword Art Online: Hollow Fragment;TRUE;FALSE;FALSE;FALSE;FALSE;5.5;Action;N;2014;9
Tales from Space: Mutant Blobs Attack;TRUE;TRUE;FALSE;FALSE;FALSE;8;Platformer;N;2014;6
Tales from the Borderlands -- Episode 1: Zer0 Sum;TRUE;FALSE;FALSE;TRUE;FALSE;8.7;Adventure;N;2014;11
Tales of Symphonia Chronicles;TRUE;FALSE;FALSE;FALSE;FALSE;8;RPG;N;2014;2
Tales of Xillia 2;TRUE;FALSE;FALSE;FALSE;FALSE;8;RPG;N;2014;8
Teenage Mutant Ninja Turtles: Danger of the Ooze;FALSE;TRUE;FALSE;FALSE;FALSE;5;Fighting;N;2014;11
Tesla Effect: A Tex Murphy Adventure;FALSE;FALSE;FALSE;TRUE;FALSE;6.8;Adventure;N;2014;5
The Amazing Spider-Man 2 (iPhone);FALSE;FALSE;FALSE;FALSE;TRUE;4.5;Action;N;2014;5
The Amazing Spider-Man 2;TRUE;TRUE;FALSE;TRUE;TRUE;5.4;Action;N;2014;5
The Banner Saga;FALSE;FALSE;FALSE;TRUE;FALSE;8.6;Strategy;N;2014;1
The Binding of Isaac: Rebirth;TRUE;FALSE;FALSE;TRUE;FALSE;9;RPG;Y;2014;11
The Castle Doctrine;FALSE;FALSE;FALSE;TRUE;FALSE;4.5;Strategy;N;2014;2
The Crew;TRUE;TRUE;FALSE;TRUE;FALSE;6;Racing;N;2014;12
The Elder Scrolls Online;FALSE;FALSE;FALSE;TRUE;FALSE;7.8;RPG;N;2014;3
The Evil Within;TRUE;TRUE;FALSE;FALSE;FALSE;8.7;Adventure;N;2014;10
The Golf Club: Collector's Edition;TRUE;TRUE;FALSE;TRUE;FALSE;7;Sports;N;2014;8
The Incredible Adventures of Van Helsing II;FALSE;FALSE;FALSE;TRUE;FALSE;7.4;Action-RPG;N;2014;5
The Last Federation;FALSE;FALSE;FALSE;TRUE;FALSE;6.9;Strategy;N;2014;4
The Last of Us: Left Behind;TRUE;FALSE;FALSE;FALSE;FALSE;9;Action-Adventure;Y;2014;2
The Last of Us: Remastered;TRUE;FALSE;FALSE;FALSE;FALSE;10;Action;Y;2014;7
The Legend of Korra;FALSE;TRUE;FALSE;FALSE;FALSE;4.2;Action;N;2014;10
The LEGO Movie Videogame;TRUE;TRUE;TRUE;TRUE;FALSE;6.5;Action-Adventure;N;2014;2
The Sims 4 (PC);FALSE;FALSE;FALSE;TRUE;FALSE;7.5;Simulation;N;2014;9
The Sly Collection (Vita);TRUE;FALSE;FALSE;FALSE;FALSE;8.1;Platformer;N;2014;5
The Talos Principle;FALSE;FALSE;FALSE;TRUE;FALSE;8.3;Puzzle;N;2014;12
The Walking Dead: Season Two -- Episode 2: A House Divided;TRUE;TRUE;FALSE;TRUE;TRUE;9.5;Adventure;Y;2014;3
The Walking Dead: Season Two -- Episode 3: In Harm's Way;TRUE;TRUE;FALSE;TRUE;TRUE;9;Adventure;Y;2014;5
The Walking Dead: Season Two -- Episode 4: Amid the Ruins;TRUE;TRUE;FALSE;TRUE;TRUE;6;Adventure;N;2014;7
The Walking Dead: Season Two -- Episode 5: No Going Back;TRUE;TRUE;FALSE;TRUE;TRUE;9.5;Adventure;Y;2014;8
The Witch and the Hundred Knight;TRUE;FALSE;FALSE;FALSE;FALSE;5.8;Action-RPG;N;2014;3
The Witcher Adventure Game;FALSE;FALSE;FALSE;TRUE;TRUE;6.9;Board;N;2014;12
The Wolf Among Us: Episode 2 -- Smoke and Mirrors;TRUE;TRUE;FALSE;TRUE;FALSE;8.5;Adventure;N;2014;2
The Wolf Among Us: Episode 3 -- A Crooked Mile;TRUE;TRUE;FALSE;TRUE;FALSE;9.2;Adventure;Y;2014;4
The Wolf Among Us: Episode 4 -- In Sheep's Clothing;FALSE;FALSE;FALSE;TRUE;FALSE;6;Adventure;N;2014;5
The Wolf Among Us: Episode 5 -- Cry Wolf;FALSE;TRUE;FALSE;TRUE;FALSE;9.3;Adventure;N;2014;7
Theatrhythm Final Fantasy: Curtain Call;FALSE;FALSE;TRUE;FALSE;FALSE;8.5;Music;N;2014;9
Thief (PS3/Xbox 360);TRUE;TRUE;FALSE;FALSE;FALSE;6.5;Adventure;N;2014;2
Thief;TRUE;TRUE;FALSE;TRUE;FALSE;6.8;Adventure;N;2014;2
This War Of Mine;FALSE;FALSE;FALSE;TRUE;FALSE;8.4;Strategy;N;2014;11
Threes;FALSE;TRUE;FALSE;FALSE;TRUE;9.3;Puzzle;Y;2014;12
Titan Attacks!;TRUE;FALSE;FALSE;FALSE;FALSE;7.5;Shooter;N;2014;5
Titanfall;FALSE;FALSE;FALSE;TRUE;FALSE;8.9;Shooter;Y;2014;3
Titanfall;FALSE;TRUE;FALSE;FALSE;FALSE;8.9;Shooter;Y;2014;3
Tomb Raider: Definitive Edition;TRUE;TRUE;FALSE;FALSE;FALSE;9.1;Action;Y;2014;1
Tomodachi Life;FALSE;FALSE;TRUE;FALSE;FALSE;8.4;Simulation;N;2014;6
Toukiden: The Age of Demons;TRUE;FALSE;FALSE;FALSE;FALSE;6.2;Action;N;2014;2
TowerFall Ascension;TRUE;FALSE;FALSE;TRUE;FALSE;8.9;Action;N;2014;3
Transformers: Rise of the Dark Spark;TRUE;TRUE;FALSE;TRUE;FALSE;4.9;Action;N;2014;6
Transformers: Rise of the Dark Spark (Wii U);FALSE;FALSE;TRUE;FALSE;FALSE;4;Action;N;2014;7
Transistor;TRUE;FALSE;FALSE;TRUE;FALSE;9;Action-RPG;Y;2014;5
Trials Fusion;TRUE;TRUE;FALSE;TRUE;FALSE;8.2;Racing;N;2014;4
Tropico 5;FALSE;FALSE;FALSE;TRUE;FALSE;7.2;Strategy;N;2014;5
TxK;TRUE;FALSE;FALSE;FALSE;FALSE;8.2;Shooter;N;2014;2
Ultra Street Fighter IV;FALSE;TRUE;FALSE;FALSE;FALSE;9;Fighting;Y;2014;6
Unepic;FALSE;FALSE;TRUE;FALSE;FALSE;7;Platformer;N;2014;2
Valiant Hearts: The Great War;TRUE;FALSE;FALSE;FALSE;FALSE;7.7;Puzzle;N;2014;6
Valkyria Chronicles (PC);FALSE;FALSE;FALSE;TRUE;FALSE;8.8;Action-RPG;N;2014;11
Velocity 2X;TRUE;FALSE;FALSE;FALSE;FALSE;9;Shooter;Y;2014;9
War Thunder;TRUE;FALSE;FALSE;TRUE;TRUE;7.2;Action;N;2014;6
Wargame: Red Dragon;FALSE;FALSE;FALSE;TRUE;FALSE;7.6;Strategy;N;2014;4
Wasteland 2;FALSE;FALSE;FALSE;TRUE;FALSE;8.4;RPG;N;2014;9
Watch Dogs (PS3);TRUE;FALSE;FALSE;FALSE;FALSE;7.5;Action;N;2014;5
Watch Dogs;TRUE;TRUE;FALSE;TRUE;FALSE;8.4;Action;N;2014;5
Watch Dogs: Bad Blood;FALSE;FALSE;FALSE;TRUE;FALSE;6.8;Action;N;2014;10
Wii Sports Club;FALSE;FALSE;TRUE;FALSE;FALSE;8;Sports;N;2014;8
WildStar;FALSE;FALSE;FALSE;TRUE;FALSE;8.7;RPG;N;2014;6
Wolfenstein: The New Order;TRUE;TRUE;FALSE;TRUE;FALSE;7.8;Shooter;N;2014;5
World of Tanks;FALSE;TRUE;FALSE;FALSE;FALSE;8;RPG;N;2014;3
World of Warcraft: Warlords of Draenor;FALSE;FALSE;FALSE;TRUE;FALSE;9;RPG;Y;2014;11
WWE 2K15 (Xbox 360);FALSE;TRUE;FALSE;FALSE;FALSE;5.9;Sports;N;2014;10
WWE 2K15;TRUE;TRUE;FALSE;FALSE;FALSE;7;Sports;N;2014;11
X-Men: Battle of the Atom;FALSE;FALSE;FALSE;FALSE;TRUE;4;Strategy;N;2014;1
Xenonauts;FALSE;FALSE;FALSE;TRUE;FALSE;7.8;Strategy;N;2014;8
Xeodrifter;FALSE;FALSE;TRUE;TRUE;FALSE;6.5;Action-Adventure;N;2014;12
Yaiba: Ninja Gaiden Z;TRUE;TRUE;FALSE;FALSE;FALSE;5.6;Action;N;2014;3
Yoshi's New Island;FALSE;FALSE;TRUE;FALSE;FALSE;7.9;Platformer;N;2014;3
Zumba Fitness World Party;FALSE;TRUE;FALSE;FALSE;FALSE;7.2;Sports;N;2014;1
007 Legends (Wii U);FALSE;FALSE;TRUE;FALSE;FALSE;4.2;Action;N;2013;1
140;FALSE;FALSE;FALSE;TRUE;FALSE;8;Platformer;N;2013;10
Ace of Spades;FALSE;FALSE;FALSE;TRUE;FALSE;5.9;Shooter;N;2013;1
Adventure Time: Explore the Dungeon Because I Don't Know!;TRUE;TRUE;TRUE;TRUE;FALSE;3.5;Adventure;N;2013;12
Age of Wushu;FALSE;FALSE;FALSE;TRUE;FALSE;7;RPG;N;2013;5
Air Conflicts: Vietnam;TRUE;TRUE;FALSE;FALSE;FALSE;3.5;Action;N;2013;12
Akaneiro: Demon Hunters;FALSE;FALSE;FALSE;TRUE;FALSE;4.5;RPG;N;2013;2
Alien Rage;FALSE;FALSE;FALSE;TRUE;FALSE;4.4;Shooter;N;2013;10
Aliens: Colonial Marines;TRUE;TRUE;FALSE;FALSE;FALSE;4.5;Shooter;N;2013;2
Aliens: Colonial Marines (PC);FALSE;FALSE;FALSE;TRUE;FALSE;5;Shooter;N;2013;2
Amnesia: A Machine for Pigs;FALSE;FALSE;FALSE;TRUE;FALSE;8.3;Adventure;N;2013;9
Anarchy Reigns;TRUE;TRUE;FALSE;FALSE;FALSE;5.9;Action;N;2013;1
Angry Birds Go!;FALSE;FALSE;FALSE;FALSE;TRUE;5;Racing;N;2013;12
Animal Crossing: New Leaf;FALSE;FALSE;TRUE;FALSE;FALSE;9.6;Simulation;Y;2013;6
Anomaly 2;FALSE;FALSE;FALSE;TRUE;FALSE;8;Strategy;N;2013;5
Antichamber;FALSE;FALSE;FALSE;TRUE;TRUE;8.6;Puzzle;Y;2013;1
AquaPazza;TRUE;FALSE;FALSE;FALSE;FALSE;7;Fighting;N;2013;12
ArmA III;FALSE;FALSE;FALSE;TRUE;FALSE;7;Shooter;N;2013;9
Armored Core: Verdict Day;TRUE;FALSE;FALSE;FALSE;FALSE;7.6;Simulation;N;2013;10
Army of Two: The Devil's Cartel;TRUE;TRUE;FALSE;FALSE;FALSE;5;Shooter;N;2013;3
Assassin's Creed III -- The Tyranny of King Washington;TRUE;TRUE;TRUE;TRUE;FALSE;6.8;Action-Adventure;N;2013;4
Assassin's Creed IV: Black Flag;TRUE;TRUE;TRUE;TRUE;FALSE;8.5;Action-Adventure;N;2013;10
Assassin's Creed IV: Black Flag -- Freedom Cry;TRUE;FALSE;FALSE;FALSE;FALSE;7;Action-Adventure;N;2013;12
Assassin's Creed Pirates;FALSE;FALSE;FALSE;FALSE;TRUE;5.5;Action-Adventure;N;2013;12
Atelier Ayesha: The Alchemist of Dusk;TRUE;FALSE;FALSE;FALSE;FALSE;6.2;RPG;N;2013;3
Atelier Totori Plus: The Adventurer of Arland;TRUE;FALSE;FALSE;FALSE;FALSE;7.8;RPG;N;2013;4
Attack of the Friday Monsters: A Tokyo Tale;FALSE;FALSE;TRUE;FALSE;FALSE;6.2;Adventure;N;2013;7
Baldur's Gate II -- Enhanced Edition;FALSE;FALSE;FALSE;TRUE;FALSE;8.3;RPG;N;2013;11
Banana Kong;FALSE;FALSE;FALSE;FALSE;TRUE;6;Platformer;N;2013;1
Batman: Arkham Origins;TRUE;TRUE;TRUE;TRUE;FALSE;7.8;Action;N;2013;10
Batman: Arkham Origins Blackgate -- Deluxe Edition;TRUE;TRUE;TRUE;TRUE;FALSE;7.4;Action;N;2013;10
BattleBlock Theater;FALSE;TRUE;FALSE;FALSE;FALSE;7.8;Platformer;N;2013;4
Battlefield 4;TRUE;TRUE;FALSE;TRUE;FALSE;8.5;Shooter;N;2013;11
Battlefield 4 (PS3/Xbox 360);TRUE;TRUE;FALSE;FALSE;FALSE;8;Shooter;N;2013;10
Beyond: Two Souls;TRUE;FALSE;FALSE;FALSE;FALSE;6;Adventure;N;2013;10
Bientot L'ete;FALSE;FALSE;FALSE;TRUE;TRUE;7;Adventure;N;2013;2
BioShock Infinite;FALSE;TRUE;FALSE;TRUE;FALSE;9.5;Shooter;Y;2013;3
BioShock Infinite (PS3);TRUE;FALSE;FALSE;FALSE;FALSE;9.4;Shooter;Y;2013;3
Bioshock Infinite: Burial at Sea -- Episode One;TRUE;TRUE;FALSE;TRUE;FALSE;7;Shooter;N;2013;11
Bit.Trip Presents: Runner 2 Future Legend of Rhythm Alien;TRUE;TRUE;TRUE;TRUE;TRUE;9;Platformer;Y;2013;2
Borderlands 2: How Marcus Saved Mercenary Day;FALSE;TRUE;FALSE;TRUE;FALSE;7.3;Action-RPG;N;2013;12
Borderlands 2: Sir Hammerlock's Big Game Hunt;TRUE;TRUE;FALSE;TRUE;FALSE;6.9;Action-RPG;N;2013;1
Borderlands 2: T.K. Baha's Bloody Harvest;FALSE;TRUE;FALSE;FALSE;FALSE;7;Action-RPG;N;2013;10
Borderlands 2: Tiny Tina's Assault on Dragon Keep;FALSE;TRUE;FALSE;FALSE;FALSE;9.2;Action-RPG;Y;2013;6
Brain Age: Concentration Training;FALSE;FALSE;TRUE;FALSE;FALSE;7.8;Educational;N;2013;2
Bravely Default;FALSE;FALSE;TRUE;FALSE;FALSE;8.6;RPG;N;2013;12
Brothers: A Tale of Two Sons;TRUE;TRUE;FALSE;TRUE;FALSE;8.2;Adventure;N;2013;8
Call of Duty: Ghosts;TRUE;TRUE;TRUE;TRUE;FALSE;8.8;Shooter;N;2013;11
Call of Duty: Strike Team;FALSE;FALSE;FALSE;FALSE;TRUE;6;Shooter;N;2013;9
Call of Juarez: Gunslinger;TRUE;TRUE;FALSE;TRUE;FALSE;7.5;Shooter;N;2013;5
Carnivores: Dinosaur Hunter HD;TRUE;FALSE;FALSE;FALSE;FALSE;4;Shooter;N;2013;9
Castle of Illusion Starring Mickey Mouse;FALSE;TRUE;FALSE;TRUE;FALSE;6.7;Platformer;N;2013;9
CastleStorm;TRUE;TRUE;FALSE;FALSE;FALSE;8;Strategy;N;2013;6
Castlevania: Lords of Shadow -- Mirror of Fate;FALSE;FALSE;TRUE;FALSE;FALSE;4.7;Action;N;2013;3
Charlie Murder;FALSE;TRUE;FALSE;FALSE;FALSE;7;Action;N;2013;8
Chivalry: Deadliest Warrior;FALSE;FALSE;FALSE;TRUE;FALSE;8.1;Action;N;2013;11
Cities in Motion 2;FALSE;FALSE;FALSE;TRUE;FALSE;7.5;Simulation;N;2013;4
Cloudberry Kingdom;TRUE;FALSE;TRUE;FALSE;FALSE;7.4;Platformer;N;2013;7
Company of Heroes 2;FALSE;FALSE;FALSE;TRUE;FALSE;8.4;Strategy;N;2013;6
Contrast;TRUE;FALSE;FALSE;TRUE;FALSE;7.5;Puzzle;N;2013;11
Corpse Party: Book of Shadows;TRUE;FALSE;FALSE;FALSE;FALSE;5.8;Adventure;N;2013;1
Crimson Dragon;FALSE;TRUE;FALSE;FALSE;FALSE;5.9;Action;N;2013;11
Crysis 3;TRUE;TRUE;FALSE;TRUE;FALSE;8.5;Shooter;N;2013;2
Cut The Rope 2;FALSE;FALSE;FALSE;FALSE;TRUE;8;Puzzle;N;2013;12
Dark;FALSE;TRUE;FALSE;TRUE;FALSE;4;Action;N;2013;7
Darkstalkers Resurrection;TRUE;TRUE;FALSE;FALSE;FALSE;8.4;Fighting;N;2013;3
DC Universe Online (PS4);TRUE;FALSE;FALSE;FALSE;FALSE;8;RPG;N;2013;12
Dead Island Riptide;TRUE;TRUE;FALSE;TRUE;FALSE;7.2;Action;N;2013;4
Dead Man's Draw;FALSE;FALSE;FALSE;FALSE;TRUE;6.2;Strategy;N;2013;10
Dead Space 3;TRUE;TRUE;FALSE;TRUE;FALSE;7.8;Action-Adventure;N;2013;2
Dead Space 3: Awakened;TRUE;TRUE;FALSE;TRUE;FALSE;8.2;Action-Adventure;N;2013;3
Deadfall Adventures;FALSE;FALSE;FALSE;TRUE;FALSE;4;Shooter;N;2013;11
Deadly Premonition: The Director's Cut;TRUE;FALSE;FALSE;FALSE;FALSE;7;Action-Adventure;N;2013;4
Deadpool;TRUE;TRUE;FALSE;TRUE;FALSE;6;Action;N;2013;6
Defiance (PC);FALSE;FALSE;FALSE;TRUE;FALSE;5.9;Action;N;2013;4
Defiance (PS3);TRUE;FALSE;FALSE;FALSE;FALSE;5.2;Action;N;2013;4
Defiance (Xbox 360);FALSE;TRUE;FALSE;FALSE;FALSE;5.5;Action;N;2013;4
Deus Ex: Human Revolution -- Director's Cut;FALSE;FALSE;TRUE;FALSE;FALSE;8.3;Shooter;N;2013;10
Deus Ex: The Fall (iPhone);FALSE;FALSE;FALSE;FALSE;TRUE;8.2;Shooter;N;2013;7
Device 6;FALSE;FALSE;FALSE;FALSE;TRUE;9.5;Puzzle;Y;2013;11
Devil Summoner: Soul Hackers;FALSE;FALSE;TRUE;FALSE;FALSE;7.8;RPG;N;2013;4
Diablo III;TRUE;TRUE;FALSE;FALSE;FALSE;9;Action-RPG;Y;2013;9
Dillon's Rolling Western: The Last Ranger;FALSE;FALSE;TRUE;FALSE;FALSE;6.7;Adventure;N;2013;4
Disgaea D2: A Brighter Darkness;TRUE;FALSE;FALSE;FALSE;FALSE;9.1;Action;Y;2013;9
Dishonored: The Brigmore Witches;TRUE;TRUE;FALSE;TRUE;FALSE;7.5;Action;N;2013;8
Dishonored: The Knife of Dunwall;TRUE;FALSE;FALSE;TRUE;FALSE;7.5;Action;N;2013;4
Disney Epic Mickey 2: The Power of Two;TRUE;FALSE;FALSE;FALSE;FALSE;6.2;Action-Adventure;N;2013;6
Disney Infinity;TRUE;TRUE;TRUE;TRUE;FALSE;8.7;Action;N;2013;8
Divekick;TRUE;FALSE;FALSE;TRUE;FALSE;7;Fighting;N;2013;9
Divinity: Dragon Commander;FALSE;FALSE;FALSE;TRUE;FALSE;7.8;RPG;N;2013;8
DmC: Devil May Cry;FALSE;TRUE;FALSE;TRUE;FALSE;8.9;Action;Y;2013;1
DmC: Devil May Cry (PS3);TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Action;Y;2013;1
Doki-Doki Universe;TRUE;FALSE;FALSE;FALSE;FALSE;7;Adventure;N;2013;12
Dollar Dash;FALSE;TRUE;FALSE;TRUE;FALSE;4.8;Action;N;2013;3
Donkey Kong Country Returns 3D;FALSE;FALSE;TRUE;FALSE;FALSE;8.9;Platformer;Y;2013;5
Dota 2;FALSE;FALSE;FALSE;TRUE;FALSE;9.4;RPG;Y;2013;7
Dragon Fantasy Book II;TRUE;FALSE;FALSE;FALSE;FALSE;3;RPG;N;2013;10
Dragon's Crown;TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Action;N;2013;7
Dragon's Dogma: Dark Arisen;TRUE;TRUE;FALSE;FALSE;FALSE;7.9;Action-RPG;N;2013;4
Dragon's Prophet;FALSE;FALSE;FALSE;TRUE;FALSE;5.1;RPG;N;2013;10
DuckTales Remastered;TRUE;FALSE;TRUE;TRUE;FALSE;7;Platformer;N;2013;8
Dungelot;FALSE;FALSE;FALSE;FALSE;TRUE;8.9;Puzzle;N;2013;1
Dungeon Hunter 4;FALSE;FALSE;FALSE;FALSE;TRUE;5.5;Action-RPG;N;2013;4
Dungeonland;FALSE;FALSE;FALSE;TRUE;FALSE;4.6;Action-Adventure;N;2013;2
Dungeons & Dragons: Chronicles of Mystara;TRUE;TRUE;TRUE;TRUE;FALSE;8.3;Action;N;2013;6
Dust 514;TRUE;FALSE;FALSE;FALSE;FALSE;5.8;Shooter;N;2013;5
Dynasty Warriors 7: Empires;TRUE;FALSE;FALSE;FALSE;FALSE;7.5;Action;N;2013;2
Dynasty Warriors 8;TRUE;TRUE;FALSE;FALSE;FALSE;8.7;Action;N;2013;7
EarthBound;FALSE;FALSE;TRUE;FALSE;FALSE;9;RPG;N;2013;7
Escape Plan;TRUE;FALSE;FALSE;FALSE;FALSE;8;Puzzle;N;2013;12
Etrian Odyssey IV: Legends of the Titan;FALSE;FALSE;TRUE;FALSE;FALSE;9;RPG;N;2013;3
Etrian Odyssey Untold: The Millennium Girl;FALSE;FALSE;TRUE;FALSE;FALSE;8.5;RPG;N;2013;9
Europa Universalis IV;FALSE;FALSE;FALSE;TRUE;TRUE;8.9;Strategy;N;2013;8
F1 2013;TRUE;TRUE;FALSE;TRUE;FALSE;8;Racing;N;2013;10
Fallen Enchantress: Legendary Heroes;FALSE;FALSE;FALSE;TRUE;FALSE;8;Strategy;N;2013;5
Far Cry 3: Blood Dragon;TRUE;TRUE;FALSE;TRUE;FALSE;8;Shooter;N;2013;4
Fast & Furious: Showdown;TRUE;TRUE;FALSE;FALSE;FALSE;2.5;Racing;N;2013;5
Fez;TRUE;TRUE;FALSE;TRUE;FALSE;9.5;Platformer;Y;2013;5
Fieldrunners 2 (PC);FALSE;FALSE;FALSE;TRUE;FALSE;8.1;Strategy;N;2013;1
FIFA 14;TRUE;TRUE;FALSE;TRUE;FALSE;9.1;Sports;Y;2013;12
Fighter Within;FALSE;TRUE;FALSE;FALSE;FALSE;2.7;Fighting;N;2013;11
Final Fantasy XIV Online: A Realm Reborn;TRUE;FALSE;FALSE;TRUE;FALSE;8.6;RPG;N;2013;9
Final Fantasy: All The Bravest;FALSE;FALSE;FALSE;FALSE;TRUE;2.5;RPG;N;2013;1
Fire Emblem Awakening;FALSE;FALSE;TRUE;FALSE;FALSE;9.6;RPG;Y;2013;1
Fish Out of Water;FALSE;FALSE;FALSE;FALSE;TRUE;6.9;Action;N;2013;4
Fist of the North Star: Ken's Rage 2;TRUE;FALSE;FALSE;FALSE;FALSE;3.7;Action;N;2013;2
Flashback;TRUE;TRUE;FALSE;TRUE;FALSE;5.8;Action;N;2013;8
Flower (PS4);TRUE;FALSE;FALSE;FALSE;FALSE;9.5;Action;Y;2013;11
Fluidity: Spin Cycle;FALSE;FALSE;TRUE;FALSE;FALSE;6;Action;N;2013;1
Football Manager 2014;FALSE;FALSE;FALSE;TRUE;TRUE;8;Sports;N;2013;10
Forza Motorsport 5;FALSE;TRUE;FALSE;FALSE;FALSE;8.8;Racing;Y;2013;11
Fuse;TRUE;TRUE;FALSE;FALSE;FALSE;6.5;Action;N;2013;5
Game & Wario;FALSE;FALSE;TRUE;FALSE;FALSE;5.1;Party;N;2013;6
Gears of War: Judgment;FALSE;TRUE;FALSE;FALSE;FALSE;9.2;Shooter;N;2013;3
Glare;FALSE;FALSE;FALSE;TRUE;FALSE;7.1;Platformer;N;2013;10
God Mode;FALSE;TRUE;FALSE;TRUE;FALSE;6.7;Shooter;N;2013;4
God of War: Ascension;TRUE;FALSE;FALSE;FALSE;FALSE;7.8;Action;N;2013;3
Gone Home;TRUE;TRUE;FALSE;TRUE;TRUE;9.5;Simulation;Y;2013;8
Gran Turismo 6;TRUE;FALSE;FALSE;FALSE;FALSE;8;Racing;N;2013;12
Grand Theft Auto: San Andreas;FALSE;FALSE;FALSE;FALSE;TRUE;8.3;Action-Adventure;N;2013;12
Gravity Guy 2;FALSE;FALSE;FALSE;FALSE;TRUE;7;Platformer;N;2013;6
Grid 2;TRUE;TRUE;FALSE;TRUE;FALSE;8;Racing;N;2013;5
Guacamelee!;TRUE;FALSE;FALSE;FALSE;FALSE;9;Platformer;Y;2013;4
Guacamelee! (PC);FALSE;FALSE;FALSE;TRUE;FALSE;9.1;Platformer;N;2013;8
Guardians of Middle-earth (PC);FALSE;FALSE;FALSE;TRUE;FALSE;7.9;Strategy;N;2013;10
Guilty Gear XX Accent Core Plus R;TRUE;FALSE;FALSE;FALSE;FALSE;7.9;Fighting;N;2013;5
Gun Commando;FALSE;FALSE;FALSE;FALSE;TRUE;7.3;Shooter;N;2013;5
Guncraft;FALSE;FALSE;FALSE;TRUE;FALSE;6.4;Shooter;N;2013;8
Gunman Clive;FALSE;FALSE;TRUE;FALSE;FALSE;8.7;Platformer;N;2013;2
Gunpoint;FALSE;FALSE;FALSE;TRUE;FALSE;9;Puzzle;Y;2013;6
Halo: Spartan Assault;FALSE;FALSE;FALSE;TRUE;TRUE;6.7;Shooter;N;2013;7
HarmoKnight;FALSE;FALSE;TRUE;FALSE;FALSE;8.5;Platformer;Y;2013;3
Hitman HD Trilogy;TRUE;TRUE;FALSE;FALSE;FALSE;8;Compilation;N;2013;1
Hometown Story;FALSE;FALSE;TRUE;FALSE;FALSE;5;Adventure;N;2013;11
How to Survive;TRUE;TRUE;TRUE;TRUE;FALSE;5.4;Action;N;2013;10
Hyperdimension Neptunia Victory;TRUE;FALSE;FALSE;FALSE;FALSE;5.4;RPG;N;2013;4
Ibb & Obb;TRUE;FALSE;FALSE;FALSE;FALSE;8.3;Platformer;N;2013;8
Ikachan;FALSE;FALSE;TRUE;FALSE;FALSE;7.3;Adventure;N;2013;2
Incredipede;FALSE;FALSE;FALSE;TRUE;TRUE;8.5;Puzzle;Y;2013;3
Infestation: Survivor Stories;FALSE;FALSE;FALSE;TRUE;FALSE;3;Action;N;2013;1
Infinity Blade III;FALSE;FALSE;FALSE;FALSE;TRUE;9.1;Action;Y;2013;9
Injustice: Gods Among Us;TRUE;TRUE;FALSE;FALSE;FALSE;8.2;Fighting;N;2013;4
Iron Man 3: The Official Game;FALSE;FALSE;FALSE;FALSE;TRUE;6.6;Action;N;2013;4
Jak and Daxter Collection (Vita);TRUE;FALSE;FALSE;FALSE;FALSE;6.8;Platformer;N;2013;7
Joe Danger (iPhone);FALSE;FALSE;FALSE;FALSE;TRUE;9.1;Action;Y;2013;1
Just Dance 2014 (PS3);TRUE;FALSE;FALSE;FALSE;FALSE;7.7;Music;N;2013;10
Just Dance 2014 (Wii U);FALSE;FALSE;TRUE;FALSE;FALSE;7.9;Music;N;2013;10
Just Dance 2014;TRUE;TRUE;TRUE;FALSE;FALSE;7.5;Music;N;2013;10
Kentucky Route Zero: Act 1;FALSE;FALSE;FALSE;TRUE;FALSE;8.3;Adventure;N;2013;1
Kentucky Route Zero: Act 2;FALSE;FALSE;FALSE;TRUE;TRUE;9.1;Adventure;Y;2013;7
Killer Instinct;FALSE;TRUE;FALSE;FALSE;FALSE;8.4;Fighting;N;2013;11
Killer is Dead;TRUE;TRUE;FALSE;FALSE;FALSE;5;Action;N;2013;8
Killzone: Mercenary;TRUE;FALSE;FALSE;FALSE;FALSE;8;Shooter;N;2013;9
Killzone: Shadow Fall;TRUE;FALSE;FALSE;FALSE;FALSE;8;Shooter;N;2013;11
Kingdom Hearts HD 1.5 ReMIX;TRUE;FALSE;FALSE;FALSE;FALSE;8.5;Action-RPG;N;2013;9
Knack;TRUE;FALSE;FALSE;FALSE;FALSE;5.9;Action;N;2013;11
Knock-Knock;FALSE;FALSE;FALSE;TRUE;FALSE;6.2;Adventure;N;2013;10
Labyrinth Legends;TRUE;FALSE;FALSE;FALSE;FALSE;7.7;RPG;N;2013;1
